[2023-11-29 14:48:42,023] [INFO    ] [train] Using AAI executable file: ../../env/env3.1.3/AAI.x86_64
[2023-11-29 14:48:44,601] [INFO    ] [train] Creating DreamerV3 and AAI Environment
[2023-11-29 14:48:44,603] [INFO    ] [train] Loading checkpoint from logdir/retry-a5-bc_opc_opt-all/checkpoint.ckpt
[2023-11-29 14:48:47,107] [INFO    ] [utils] Initializing AAI environment for task -1: ../../configs/tests_agents/op_controls/tutorial_7_OP-RP-Allo-CVChick-LOG31XtraLowIpsi-Right-RND-0-OPQ_variant_timelimit.yml
[2023-11-29 14:48:47,108] [INFO    ] [utils] Using port 5434
[2023-11-29 14:48:49,802] [INFO    ] [environment] Connected to Unity environment with package version 2.3.0-exp.3 and communication version 1.5.0
[2023-11-29 14:48:50,924] [INFO    ] [environment] Connected new brain: AnimalAI?team=0
[2023-11-29 14:48:51,119] [INFO    ] [train] Using observation space {'extra': Space(dtype=float64, shape=(7,), low=-inf, high=inf), 'image': Space(dtype=uint8, shape=(64, 64, 3), low=0, high=255), 'raycast': Space(dtype=float64, shape=(70,), low=-inf, high=inf), 'reward': Space(dtype=float32, shape=(), low=-inf, high=inf), 'is_first': Space(dtype=bool, shape=(), low=False, high=True), 'is_last': Space(dtype=bool, shape=(), low=False, high=True), 'is_terminal': Space(dtype=bool, shape=(), low=False, high=True)}
[2023-11-29 14:48:51,120] [INFO    ] [train] Using action space {'action': Space(dtype=int32, shape=(), low=0, high=9), 'reset': Space(dtype=bool, shape=(), low=False, high=True)}
[2023-11-29 14:48:51,361] [INFO    ] [xla_bridge] Unable to initialize backend 'rocm': NOT_FOUND: Could not find registered platform with name: "rocm". Available platform names are: CUDA Interpreter
[2023-11-29 14:48:51,362] [INFO    ] [xla_bridge] Unable to initialize backend 'tpu': module 'jaxlib.xla_extension' has no attribute 'get_tpu_client'
[2023-11-29 14:49:06,453] [INFO    ] [train] Starting evaluation
[2023-11-29 14:49:36,709] [INFO    ] [utils] Initializing AAI environment for task 0: ../../configs/tests_agents/op_controls/OP-RP-Allo-CVChick-G1.51OccluderContra-Left-Beige-0-OPQ.yml
[2023-11-29 14:49:36,710] [INFO    ] [utils] Using port 5434
[2023-11-29 14:49:39,269] [INFO    ] [environment] Connected to Unity environment with package version 2.3.0-exp.3 and communication version 1.5.0
[2023-11-29 14:49:40,371] [INFO    ] [environment] Connected new brain: AnimalAI?team=0
[2023-11-29 14:50:42,270] [INFO    ] [utils] Initializing AAI environment for task 1: ../../configs/tests_agents/op_controls/OP-RP-Allo-CVChick-G1.51OccluderContra-Left-Brown-0-OPQ.yml
[2023-11-29 14:50:42,271] [INFO    ] [utils] Using port 5434
[2023-11-29 14:50:44,837] [INFO    ] [environment] Connected to Unity environment with package version 2.3.0-exp.3 and communication version 1.5.0
[2023-11-29 14:50:45,950] [INFO    ] [environment] Connected new brain: AnimalAI?team=0
[2023-11-29 14:51:50,188] [INFO    ] [utils] Initializing AAI environment for task 2: ../../configs/tests_agents/op_controls/OP-RP-Allo-CVChick-G1.51OccluderContra-Left-DarkBlue-0-OPQ.yml
[2023-11-29 14:51:50,189] [INFO    ] [utils] Using port 5434
[2023-11-29 14:51:52,757] [INFO    ] [environment] Connected to Unity environment with package version 2.3.0-exp.3 and communication version 1.5.0
[2023-11-29 14:51:53,893] [INFO    ] [environment] Connected new brain: AnimalAI?team=0
[2023-11-29 14:52:57,928] [INFO    ] [utils] Initializing AAI environment for task 3: ../../configs/tests_agents/op_controls/OP-RP-Allo-CVChick-G1.51OccluderContra-Left-DarkGreen-0-OPQ.yml
[2023-11-29 14:52:57,929] [INFO    ] [utils] Using port 5434
[2023-11-29 14:53:00,498] [INFO    ] [environment] Connected to Unity environment with package version 2.3.0-exp.3 and communication version 1.5.0
[2023-11-29 14:53:01,635] [INFO    ] [environment] Connected new brain: AnimalAI?team=0
[2023-11-29 14:54:05,593] [INFO    ] [utils] Initializing AAI environment for task 4: ../../configs/tests_agents/op_controls/OP-RP-Allo-CVChick-G1.51OccluderContra-Left-Grey-0-OPQ.yml
[2023-11-29 14:54:05,593] [INFO    ] [utils] Using port 5434
[2023-11-29 14:54:08,187] [INFO    ] [environment] Connected to Unity environment with package version 2.3.0-exp.3 and communication version 1.5.0
[2023-11-29 14:54:09,332] [INFO    ] [environment] Connected new brain: AnimalAI?team=0
[2023-11-29 14:55:13,383] [INFO    ] [utils] Initializing AAI environment for task 5: ../../configs/tests_agents/op_controls/OP-RP-Allo-CVChick-G1.51OccluderContra-Left-OffWhite-0-OPQ.yml
[2023-11-29 14:55:13,383] [INFO    ] [utils] Using port 5434
[2023-11-29 14:55:15,960] [INFO    ] [environment] Connected to Unity environment with package version 2.3.0-exp.3 and communication version 1.5.0
[2023-11-29 14:55:17,098] [INFO    ] [environment] Connected new brain: AnimalAI?team=0
[2023-11-29 14:56:21,390] [INFO    ] [utils] Initializing AAI environment for task 6: ../../configs/tests_agents/op_controls/OP-RP-Allo-CVChick-G1.51OccluderContra-Left-RND-0-OPQ.yml
[2023-11-29 14:56:21,390] [INFO    ] [utils] Using port 5434
[2023-11-29 14:56:23,994] [INFO    ] [environment] Connected to Unity environment with package version 2.3.0-exp.3 and communication version 1.5.0
[2023-11-29 14:56:25,144] [INFO    ] [environment] Connected new brain: AnimalAI?team=0
[2023-11-29 14:57:29,467] [INFO    ] [utils] Initializing AAI environment for task 7: ../../configs/tests_agents/op_controls/OP-RP-Allo-CVChick-G1.51OccluderContra-Right-Beige-0-OPQ.yml
[2023-11-29 14:57:29,467] [INFO    ] [utils] Using port 5434
[2023-11-29 14:57:32,037] [INFO    ] [environment] Connected to Unity environment with package version 2.3.0-exp.3 and communication version 1.5.0
[2023-11-29 14:57:33,178] [INFO    ] [environment] Connected new brain: AnimalAI?team=0
[2023-11-29 14:58:39,962] [INFO    ] [utils] Initializing AAI environment for task 8: ../../configs/tests_agents/op_controls/OP-RP-Allo-CVChick-G1.51OccluderContra-Right-Brown-0-OPQ.yml
[2023-11-29 14:58:39,962] [INFO    ] [utils] Using port 5434
[2023-11-29 14:58:43,000] [INFO    ] [environment] Connected to Unity environment with package version 2.3.0-exp.3 and communication version 1.5.0
[2023-11-29 14:58:44,120] [INFO    ] [environment] Connected new brain: AnimalAI?team=0
[2023-11-29 14:59:48,493] [INFO    ] [utils] Initializing AAI environment for task 9: ../../configs/tests_agents/op_controls/OP-RP-Allo-CVChick-G1.51OccluderContra-Right-DarkBlue-0-OPQ.yml
[2023-11-29 14:59:48,494] [INFO    ] [utils] Using port 5434
[2023-11-29 14:59:51,064] [INFO    ] [environment] Connected to Unity environment with package version 2.3.0-exp.3 and communication version 1.5.0
[2023-11-29 14:59:52,200] [INFO    ] [environment] Connected new brain: AnimalAI?team=0
[2023-11-29 15:00:56,604] [INFO    ] [utils] Initializing AAI environment for task 10: ../../configs/tests_agents/op_controls/OP-RP-Allo-CVChick-G1.51OccluderContra-Right-DarkGreen-0-OPQ.yml
[2023-11-29 15:00:56,605] [INFO    ] [utils] Using port 5434
[2023-11-29 15:00:59,191] [INFO    ] [environment] Connected to Unity environment with package version 2.3.0-exp.3 and communication version 1.5.0
[2023-11-29 15:01:00,369] [INFO    ] [environment] Connected new brain: AnimalAI?team=0
[2023-11-29 15:02:04,658] [INFO    ] [utils] Initializing AAI environment for task 11: ../../configs/tests_agents/op_controls/OP-RP-Allo-CVChick-G1.51OccluderContra-Right-Grey-0-OPQ.yml
[2023-11-29 15:02:04,659] [INFO    ] [utils] Using port 5434
[2023-11-29 15:02:07,263] [INFO    ] [environment] Connected to Unity environment with package version 2.3.0-exp.3 and communication version 1.5.0
[2023-11-29 15:02:08,405] [INFO    ] [environment] Connected new brain: AnimalAI?team=0
[2023-11-29 15:03:12,669] [INFO    ] [utils] Initializing AAI environment for task 12: ../../configs/tests_agents/op_controls/OP-RP-Allo-CVChick-G1.51OccluderContra-Right-OffWhite-0-OPQ.yml
[2023-11-29 15:03:12,669] [INFO    ] [utils] Using port 5434
[2023-11-29 15:03:15,311] [INFO    ] [environment] Connected to Unity environment with package version 2.3.0-exp.3 and communication version 1.5.0
[2023-11-29 15:03:16,472] [INFO    ] [environment] Connected new brain: AnimalAI?team=0
[2023-11-29 15:04:20,869] [INFO    ] [utils] Initializing AAI environment for task 13: ../../configs/tests_agents/op_controls/OP-RP-Allo-CVChick-G1.51OccluderContra-Right-RND-0-OPQ.yml
[2023-11-29 15:04:20,870] [INFO    ] [utils] Using port 5434
[2023-11-29 15:04:23,447] [INFO    ] [environment] Connected to Unity environment with package version 2.3.0-exp.3 and communication version 1.5.0
[2023-11-29 15:04:24,601] [INFO    ] [environment] Connected new brain: AnimalAI?team=0
[2023-11-29 15:05:31,070] [INFO    ] [utils] Initializing AAI environment for task 14: ../../configs/tests_agents/op_controls/OP-RP-Allo-CVChick-G1.51OccluderIpsi-Left-Beige-0-OPQ.yml
[2023-11-29 15:05:31,070] [INFO    ] [utils] Using port 5434
[2023-11-29 15:05:33,677] [INFO    ] [environment] Connected to Unity environment with package version 2.3.0-exp.3 and communication version 1.5.0
