[2023-11-30 13:23:03,491] [INFO    ] [train] Using AAI executable file: ../../env/env3.1.3/AAI.x86_64
[2023-11-30 13:23:07,189] [INFO    ] [train] Creating DreamerV3 and AAI Environment
[2023-11-30 13:23:07,192] [INFO    ] [train] Loading checkpoint from logdir/retry-a5-bc_opc_opt-all/checkpoint.ckpt
[2023-11-30 13:23:09,694] [INFO    ] [utils] Initializing AAI environment for task 979: ../../configs/tests_agents/op_controls/OP-RP-Allo-CVChick-LOG12XtraLow-Left-Brown-0-OPQ.yml
[2023-11-30 13:23:09,694] [INFO    ] [utils] Using port 5664
[2023-11-30 13:23:12,394] [INFO    ] [environment] Connected to Unity environment with package version 2.3.0-exp.3 and communication version 1.5.0
[2023-11-30 13:23:13,509] [INFO    ] [environment] Connected new brain: AnimalAI?team=0
[2023-11-30 13:23:13,692] [INFO    ] [train] Using observation space {'extra': Space(dtype=float64, shape=(7,), low=-inf, high=inf), 'image': Space(dtype=uint8, shape=(64, 64, 3), low=0, high=255), 'raycast': Space(dtype=float64, shape=(70,), low=-inf, high=inf), 'reward': Space(dtype=float32, shape=(), low=-inf, high=inf), 'is_first': Space(dtype=bool, shape=(), low=False, high=True), 'is_last': Space(dtype=bool, shape=(), low=False, high=True), 'is_terminal': Space(dtype=bool, shape=(), low=False, high=True)}
[2023-11-30 13:23:13,693] [INFO    ] [train] Using action space {'action': Space(dtype=int32, shape=(), low=0, high=9), 'reset': Space(dtype=bool, shape=(), low=False, high=True)}
[2023-11-30 13:23:13,948] [INFO    ] [xla_bridge] Unable to initialize backend 'rocm': NOT_FOUND: Could not find registered platform with name: "rocm". Available platform names are: CUDA Interpreter
[2023-11-30 13:23:13,949] [INFO    ] [xla_bridge] Unable to initialize backend 'tpu': module 'jaxlib.xla_extension' has no attribute 'get_tpu_client'
[2023-11-30 13:23:27,962] [INFO    ] [train] Starting evaluation
[2023-11-30 13:24:37,778] [INFO    ] [utils] Initializing AAI environment for task 980: ../../configs/tests_agents/op_controls/OP-RP-Allo-CVChick-LOG12XtraLow-Left-DarkBlue-0-OPQ.yml
[2023-11-30 13:24:37,779] [INFO    ] [utils] Using port 5664
[2023-11-30 13:24:40,549] [INFO    ] [environment] Connected to Unity environment with package version 2.3.0-exp.3 and communication version 1.5.0
[2023-11-30 13:24:41,690] [INFO    ] [environment] Connected new brain: AnimalAI?team=0
[2023-11-30 13:25:46,014] [INFO    ] [utils] Initializing AAI environment for task 981: ../../configs/tests_agents/op_controls/OP-RP-Allo-CVChick-LOG12XtraLow-Left-DarkGreen-0-OPQ.yml
[2023-11-30 13:25:46,016] [INFO    ] [utils] Using port 5664
[2023-11-30 13:25:48,722] [INFO    ] [environment] Connected to Unity environment with package version 2.3.0-exp.3 and communication version 1.5.0
[2023-11-30 13:25:49,924] [INFO    ] [environment] Connected new brain: AnimalAI?team=0
[2023-11-30 13:26:53,742] [INFO    ] [utils] Initializing AAI environment for task 982: ../../configs/tests_agents/op_controls/OP-RP-Allo-CVChick-LOG12XtraLow-Left-Grey-0-OPQ.yml
[2023-11-30 13:26:53,744] [INFO    ] [utils] Using port 5664
[2023-11-30 13:26:56,439] [INFO    ] [environment] Connected to Unity environment with package version 2.3.0-exp.3 and communication version 1.5.0
[2023-11-30 13:26:57,650] [INFO    ] [environment] Connected new brain: AnimalAI?team=0
[2023-11-30 13:28:01,576] [INFO    ] [utils] Initializing AAI environment for task 983: ../../configs/tests_agents/op_controls/OP-RP-Allo-CVChick-LOG12XtraLow-Left-OffWhite-0-OPQ.yml
[2023-11-30 13:28:01,577] [INFO    ] [utils] Using port 5664
[2023-11-30 13:28:04,293] [INFO    ] [environment] Connected to Unity environment with package version 2.3.0-exp.3 and communication version 1.5.0
