[2023-11-30 13:24:25,946] [INFO    ] [train] Using AAI executable file: ../../env/env3.1.3/AAI.x86_64
[2023-11-30 13:24:28,137] [INFO    ] [train] Creating DreamerV3 and AAI Environment
[2023-11-30 13:24:28,140] [INFO    ] [train] Loading checkpoint from logdir/retry-a5-bc_opc_opt-all/checkpoint.ckpt
[2023-11-30 13:24:30,841] [INFO    ] [utils] Initializing AAI environment for task 979: ../../configs/tests_agents/op_tests/OP-STC-Allo-PCTB-3CupFC-1Y2.5MFar-DarkGreen-0-OpLava.yml
[2023-11-30 13:24:30,843] [INFO    ] [utils] Using port 5982
[2023-11-30 13:24:34,110] [INFO    ] [environment] Connected to Unity environment with package version 2.3.0-exp.3 and communication version 1.5.0
[2023-11-30 13:24:35,211] [INFO    ] [environment] Connected new brain: AnimalAI?team=0
[2023-11-30 13:24:35,287] [INFO    ] [train] Using observation space {'extra': Space(dtype=float64, shape=(7,), low=-inf, high=inf), 'image': Space(dtype=uint8, shape=(64, 64, 3), low=0, high=255), 'raycast': Space(dtype=float64, shape=(70,), low=-inf, high=inf), 'reward': Space(dtype=float32, shape=(), low=-inf, high=inf), 'is_first': Space(dtype=bool, shape=(), low=False, high=True), 'is_last': Space(dtype=bool, shape=(), low=False, high=True), 'is_terminal': Space(dtype=bool, shape=(), low=False, high=True)}
[2023-11-30 13:24:35,289] [INFO    ] [train] Using action space {'action': Space(dtype=int32, shape=(), low=0, high=9), 'reset': Space(dtype=bool, shape=(), low=False, high=True)}
[2023-11-30 13:24:35,607] [INFO    ] [xla_bridge] Unable to initialize backend 'rocm': NOT_FOUND: Could not find registered platform with name: "rocm". Available platform names are: CUDA Interpreter
[2023-11-30 13:24:35,609] [INFO    ] [xla_bridge] Unable to initialize backend 'tpu': module 'jaxlib.xla_extension' has no attribute 'get_tpu_client'
[2023-11-30 13:24:51,955] [INFO    ] [train] Starting evaluation
[2023-11-30 13:25:51,921] [INFO    ] [utils] Initializing AAI environment for task 980: ../../configs/tests_agents/op_tests/OP-STC-Allo-PCTB-3CupFC-1Y2.5MFar-Grey-0-OPQ.yml
[2023-11-30 13:25:51,922] [INFO    ] [utils] Using port 5982
[2023-11-30 13:25:54,633] [INFO    ] [environment] Connected to Unity environment with package version 2.3.0-exp.3 and communication version 1.5.0
[2023-11-30 13:25:55,702] [INFO    ] [environment] Connected new brain: AnimalAI?team=0
[2023-11-30 13:26:49,642] [INFO    ] [utils] Initializing AAI environment for task 981: ../../configs/tests_agents/op_tests/OP-STC-Allo-PCTB-3CupFC-1Y2.5MFar-Grey-0-OpLava.yml
[2023-11-30 13:26:49,643] [INFO    ] [utils] Using port 5982
[2023-11-30 13:26:52,352] [INFO    ] [environment] Connected to Unity environment with package version 2.3.0-exp.3 and communication version 1.5.0
[2023-11-30 13:26:53,436] [INFO    ] [environment] Connected new brain: AnimalAI?team=0
[2023-11-30 13:27:46,906] [INFO    ] [utils] Initializing AAI environment for task 982: ../../configs/tests_agents/op_tests/OP-STC-Allo-PCTB-3CupFC-1Y2.5MFar-OffWhite-0-OPQ.yml
[2023-11-30 13:27:46,907] [INFO    ] [utils] Using port 5982
[2023-11-30 13:27:49,619] [INFO    ] [environment] Connected to Unity environment with package version 2.3.0-exp.3 and communication version 1.5.0
[2023-11-30 13:27:50,695] [INFO    ] [environment] Connected new brain: AnimalAI?team=0
[2023-11-30 13:28:44,192] [INFO    ] [utils] Initializing AAI environment for task 983: ../../configs/tests_agents/op_tests/OP-STC-Allo-PCTB-3CupFC-1Y2.5MFar-OffWhite-0-OpLava.yml
[2023-11-30 13:28:44,193] [INFO    ] [utils] Using port 5982
[2023-11-30 13:28:46,919] [INFO    ] [environment] Connected to Unity environment with package version 2.3.0-exp.3 and communication version 1.5.0
[2023-11-30 13:28:48,007] [INFO    ] [environment] Connected new brain: AnimalAI?team=0
[2023-11-30 13:29:41,554] [INFO    ] [utils] Initializing AAI environment for task 984: ../../configs/tests_agents/op_tests/OP-STC-Allo-PCTB-3CupFC-1Y2.5MFar-RND-0-OPQ.yml
[2023-11-30 13:29:41,554] [INFO    ] [utils] Using port 5982
[2023-11-30 13:29:44,281] [INFO    ] [environment] Connected to Unity environment with package version 2.3.0-exp.3 and communication version 1.5.0
[2023-11-30 13:29:45,337] [INFO    ] [environment] Connected new brain: AnimalAI?team=0
[2023-11-30 13:30:38,810] [INFO    ] [utils] Initializing AAI environment for task 985: ../../configs/tests_agents/op_tests/OP-STC-Allo-PCTB-3CupFC-1Y2.5MFar-RND-0-OpLava.yml
[2023-11-30 13:30:38,811] [INFO    ] [utils] Using port 5982
[2023-11-30 13:30:41,522] [INFO    ] [environment] Connected to Unity environment with package version 2.3.0-exp.3 and communication version 1.5.0
[2023-11-30 13:30:42,593] [INFO    ] [environment] Connected new brain: AnimalAI?team=0
[2023-11-30 13:31:36,175] [INFO    ] [utils] Initializing AAI environment for task 986: ../../configs/tests_agents/op_tests/OP-STC-Allo-PCTB-3CupFC-1Y2.5RClose-Beige-0-OPQ.yml
[2023-11-30 13:31:36,176] [INFO    ] [utils] Using port 5982
[2023-11-30 13:31:38,854] [INFO    ] [environment] Connected to Unity environment with package version 2.3.0-exp.3 and communication version 1.5.0
[2023-11-30 13:31:39,821] [INFO    ] [environment] Connected new brain: AnimalAI?team=0
[2023-11-30 13:31:45,620] [INFO    ] [utils] Initializing AAI environment for task 987: ../../configs/tests_agents/op_tests/OP-STC-Allo-PCTB-3CupFC-1Y2.5RClose-Beige-0-OpLava.yml
[2023-11-30 13:31:45,621] [INFO    ] [utils] Using port 5982
[2023-11-30 13:31:48,296] [INFO    ] [environment] Connected to Unity environment with package version 2.3.0-exp.3 and communication version 1.5.0
[2023-11-30 13:31:49,278] [INFO    ] [environment] Connected new brain: AnimalAI?team=0
[2023-11-30 13:31:54,508] [INFO    ] [utils] Initializing AAI environment for task 988: ../../configs/tests_agents/op_tests/OP-STC-Allo-PCTB-3CupFC-1Y2.5RClose-Brown-0-OPQ.yml
[2023-11-30 13:31:54,509] [INFO    ] [utils] Using port 5982
[2023-11-30 13:31:57,166] [INFO    ] [environment] Connected to Unity environment with package version 2.3.0-exp.3 and communication version 1.5.0
[2023-11-30 13:31:58,137] [INFO    ] [environment] Connected new brain: AnimalAI?team=0
[2023-11-30 13:32:03,575] [INFO    ] [utils] Initializing AAI environment for task 989: ../../configs/tests_agents/op_tests/OP-STC-Allo-PCTB-3CupFC-1Y2.5RClose-Brown-0-OpLava.yml
[2023-11-30 13:32:03,581] [INFO    ] [utils] Using port 5982
[2023-11-30 13:32:06,220] [INFO    ] [environment] Connected to Unity environment with package version 2.3.0-exp.3 and communication version 1.5.0
[2023-11-30 13:32:07,205] [INFO    ] [environment] Connected new brain: AnimalAI?team=0
[2023-11-30 13:32:12,509] [INFO    ] [utils] Initializing AAI environment for task 990: ../../configs/tests_agents/op_tests/OP-STC-Allo-PCTB-3CupFC-1Y2.5RClose-DarkBlue-0-OPQ.yml
[2023-11-30 13:32:12,510] [INFO    ] [utils] Using port 5982
[2023-11-30 13:32:15,166] [INFO    ] [environment] Connected to Unity environment with package version 2.3.0-exp.3 and communication version 1.5.0
[2023-11-30 13:32:16,142] [INFO    ] [environment] Connected new brain: AnimalAI?team=0
[2023-11-30 13:32:20,963] [INFO    ] [utils] Initializing AAI environment for task 991: ../../configs/tests_agents/op_tests/OP-STC-Allo-PCTB-3CupFC-1Y2.5RClose-DarkBlue-0-OpLava.yml
[2023-11-30 13:32:20,964] [INFO    ] [utils] Using port 5982
[2023-11-30 13:32:23,622] [INFO    ] [environment] Connected to Unity environment with package version 2.3.0-exp.3 and communication version 1.5.0
[2023-11-30 13:32:24,601] [INFO    ] [environment] Connected new brain: AnimalAI?team=0
[2023-11-30 13:32:31,458] [INFO    ] [utils] Initializing AAI environment for task 992: ../../configs/tests_agents/op_tests/OP-STC-Allo-PCTB-3CupFC-1Y2.5RClose-DarkGreen-0-OPQ.yml
[2023-11-30 13:32:31,459] [INFO    ] [utils] Using port 5982
[2023-11-30 13:32:34,121] [INFO    ] [environment] Connected to Unity environment with package version 2.3.0-exp.3 and communication version 1.5.0
[2023-11-30 13:32:35,095] [INFO    ] [environment] Connected new brain: AnimalAI?team=0
