numCups,Task,Instance,min_x_coord,max_x_coord,min_z_coord,max_z_coord,min_y_coord,max_y_coord_RP,max_y_coord_OP,label
12,12CupGrid,CloseLeftClose,12,16,22,26,0,0.5,5.5,CloseLeftClose
12,12CupGrid,CloseLeftFar,12,16,34,38,0,0.5,5.5,CloseLeftFar
12,12CupGrid,CloseLeftMid,12,16,28,32,0,0.5,5.5,CloseLeftMid
12,12CupGrid,CloseRightClose,22,26,22,26,0,0.5,5.5,CloseRightClose
12,12CupGrid,CloseRightFar,22,26,34,38,0,0.5,5.5,CloseRightFar
12,12CupGrid,CloseRightMid,22,26,28,32,0,0.5,5.5,CloseRightMid
12,12CupGrid,FarLeftClose,4,8,22,26,0,0.5,5.5,FarLeftClose
12,12CupGrid,FarLeftFar,4,8,34,38,0,0.5,5.5,FarLeftFar
12,12CupGrid,FarLeftMid,4,8,28,32,0,0.5,5.5,FarLeftMid
12,12CupGrid,FarRightClose,30,34,22,26,0,0.5,5.5,FarRightClose
12,12CupGrid,FarRightFar,30,34,34,38,0,0.5,5.5,FarRightFar
12,12CupGrid,FarRightMid,30,34,28,32,0,0.5,5.5,FarRightMid
4,4CupGridClose,CloseLeft,12,16,22,26,0,0.5,5.5,CloseLeftClose
4,4CupGridClose,CloseRight,22,26,22,26,0,0.5,5.5,CloseRightClose
4,4CupGridClose,FarLeft,4,8,22,26,0,0.5,5.5,FarLeftClose
4,4CupGridClose,FarRight,30,34,22,26,0,0.5,5.5,FarRightClose
4,4CupGridFar,CloseLeft,12,16,34,38,0,0.5,5.5,CloseLeftFar
4,4CupGridFar,CloseRight,22,26,34,38,0,0.5,5.5,CloseRightFar
4,4CupGridFar,FarLeft,4,8,34,38,0,0.5,5.5,FarLeftFar
4,4CupGridFar,FarRight,30,34,34,38,0,0.5,5.5,FarRightFar
4,4CupGridMid,CloseLeft,12,16,28,32,0,0.5,5.5,CloseLeftMid
4,4CupGridMid,CloseRight,22,26,28,32,0,0.5,5.5,CloseRightMid
4,4CupGridMid,FarLeft,4,8,28,32,0,0.5,5.5,FarLeftMid
4,4CupGridMid,FarRight,30,34,28,32,0,0.5,5.5,FarRightMid
8,8CupGridCloseFar,CloseLeftClose,12,16,22,26,0,0.5,5.5,CloseLeftClose
8,8CupGridCloseFar,CloseLeftFar,12,16,34,38,0,0.5,5.5,CloseLeftFar
8,8CupGridCloseFar,CloseRightClose,22,26,22,26,0,0.5,5.5,CloseRightClose
8,8CupGridCloseFar,CloseRightFar,22,26,34,38,0,0.5,5.5,CloseRightFar
8,8CupGridCloseFar,FarLeftClose,4,8,22,26,0,0.5,5.5,FarLeftClose
8,8CupGridCloseFar,FarLeftFar,4,8,34,38,0,0.5,5.5,FarLeftFar
8,8CupGridCloseFar,FarRightClose,30,34,22,26,0,0.5,5.5,FarRightClose
8,8CupGridCloseFar,FarRightFar,30,34,34,38,0,0.5,5.5,FarRightFar
8,8CupGridCloseMid,CloseLeftClose,12,16,22,26,0,0.5,5.5,CloseLeftClose
8,8CupGridCloseMid,CloseLeftFar,12,16,28,32,0,0.5,5.5,CloseLeftMid
8,8CupGridCloseMid,CloseRightClose,22,26,22,26,0,0.5,5.5,CloseRightClose
8,8CupGridCloseMid,CloseRightFar,22,26,28,32,0,0.5,5.5,CloseRightMid
8,8CupGridCloseMid,FarLeftClose,4,8,22,26,0,0.5,5.5,FarLeftClose
8,8CupGridCloseMid,FarLeftFar,4,8,28,32,0,0.5,5.5,FarLeftMid
8,8CupGridCloseMid,FarRightClose,30,34,22,26,0,0.5,5.5,FarRightClose
8,8CupGridCloseMid,FarRightFar,30,34,28,32,0,0.5,5.5,FarRightMid
8,8CupGridMidFar,CloseLeftClose,12,16,28,32,0,0.5,5.5,CloseLeftMid
8,8CupGridMidFar,CloseLeftFar,12,16,34,38,0,0.5,5.5,CloseLeftFar
8,8CupGridMidFar,CloseRightClose,22,26,28,32,0,0.5,5.5,CloseRightMid
8,8CupGridMidFar,CloseRightFar,22,26,34,38,0,0.5,5.5,CloseRightFar
8,8CupGridMidFar,FarLeftClose,4,8,28,32,0,0.5,5.5,FarLeftMid
8,8CupGridMidFar,FarLeftFar,4,8,34,38,0,0.5,5.5,FarLeftFar
8,8CupGridMidFar,FarRightClose,30,34,28,32,0,0.5,5.5,FarRightMid
8,8CupGridMidFar,FarRightFar,30,34,34,38,0,0.5,5.5,FarRightFar
