Agent Name,Model Brier Score,Aggregate Brier Scores,Model Calibration,Aggregate Calibration,Model Refinement,Aggregate Refinement,Model Better? (Based on Brier Score),Success Score,Object Permanence Ability Mean (All),Visual Acuity Ability Mean (All),Flat Navigation Ability Mean (All),Lava Ability Mean (All),Right Ability Mean (All),Left Ability Mean (All),Ahead Ability Mean (All),CVChick Ability Mean (All),PCTB Ability Mean (All),Lights Out Ability Mean (All),Noise Parameter Mean (All),Object Permanence Ability SD (All),Visual Acuity Ability SD (All),Flat Navigation Ability SD (All),Lava Ability SD (All),Right Ability SD (All),Left Ability SD (All),Ahead Ability SD (All),CVChick Ability SD (All),PCTB Ability SD (All),Lights Out Ability SD (All),Noise Parameter SD (All),Object Permanence Ability Min (All),Visual Acuity Ability Min (All),Flat Navigation Ability Min (All),Lava Ability Min (All),Right Ability Min (All),Left Ability Min (All),Ahead Ability Min (All),CVChick Ability Min (All),PCTB Ability Min (All),Lights Out Ability Min (All),Noise Parameter Min (All),Object Permanence Ability Max (All),Visual Acuity Ability Max (All),Flat Navigation Ability Max (All),Lava Ability Max (All),Right Ability Max (All),Left Ability Max (All),Ahead Ability Max (All),CVChick Ability Max (All),PCTB Ability Max (All),Lights Out Ability Max (All),Noise Parameter Max (All)
perfectAgent,0.1033556827495112,0.0,0.10276441935102079,0.0,0.0,0.0,False,1.0,706.918296937717,4.999037440245389,1530.4575012999383,1.9266688765934583,1.9126226711001135,1.9110785512383632,1.866136484046137,1.9024472052323445,1.9245782068154695,1.869874491043593,0.0002351158567275183,1.0890646399669808,0.0009764765468031902,3.5425296537666484,0.061182795651193764,0.0725116125911801,0.07471882897629227,0.10593248517264785,0.08108782492091737,0.06306797263224502,0.10671784083478046,0.00022243948549921226,9.0,0.5,0.0,0,0,0,0,0,0,0,0,708.0,5.0,1534.0,2,2,2,2,2,2,2,1
failedAgent,4.4993127145898323e-05,0.0,6.314730487119618e-06,0.0,0.0,0.0,False,0.0,31.663196884490528,0.5711681565954422,42.22428978329575,0.7073782010362163,0.6150393452123984,0.6283079630280505,0.5610630349216658,0.7454715204339781,0.5583727074422702,0.6884200882023911,0.00023110251967754585,33.60519925485101,0.06958607155970262,49.753567062535495,0.5947383710381254,0.5848970113299902,0.5885208298778307,0.5723289091890982,0.5996694279151175,0.5657281747577945,0.5989703807121963,0.0002382985586410165,9.0,0.5,0.0,0,0,0,0,0,0,0,0,708.0,5.0,1534.0,2,2,2,2,2,2,2,1
noOPAgent,0.1363134531089596,0.2476493755711517,0.04973006809341553,0.0003120824770953263,0.08990788813010092,0.24733729309405908,True,0.565733270052207,209.5726280970908,4.9971562548933655,1423.47141172378,1.8795125238061612,1.8490414034310856,1.8490761059127203,1.3744919988666866,1.8861277174531477,0.39221760447145915,1.8418533875518295,0.0010692646620881852,8.743905368811113,0.002951593063655294,83.16446944722814,0.09869153682577807,0.11492796432955323,0.11888074678861912,0.3700946082270885,0.09333969781310832,0.06443264731698692,0.12779017856298294,0.0010818466274497276,9.0,0.5,0.0,0,0,0,0,0,0,0,0,708.0,5.0,1534.0,2,2,2,2,2,2,2,1
lowVisualAcuityAgent,0.10759361523995935,0.243397262402103,0.08596752206340584,2.9731683826293752e-08,0.022113982120606016,0.24339723267041816,True,0.5813953488372093,705.1636490164758,3.9933656779484155,1525.6079194124704,1.8683388149505062,1.8493226216285035,1.8484312664503586,1.765818842805031,1.8468108632071556,1.856991006102828,1.8071802586279113,0.00085219946025721,2.892600911661806,0.026893105558116522,8.399404054015084,0.10202043680988233,0.11636518861039354,0.11660667403957027,0.17105306505379306,0.11645911391617715,0.11440175414879572,0.14533974085396406,0.0008545812116572969,9.0,0.5,0.0,0,0,0,0,0,0,0,0,708.0,5.0,1534.0,2,2,2,2,2,2,2,1
poorNavigationOPAgent,0.07834488026857304,0.14143694871840135,0.02802128656212212,0.0005797885732356222,0.05160826926224645,0.14085716014516309,True,0.18889416231608921,101.06607070857488,4.985639476718477,518.075285090167,0.003425205040536818,1.5847996574606882,1.586235924892825,1.6798969510536943,0.002935314153250995,1.7305837402844308,1.4335988831855728,0.0005721168145614386,10.126590383412232,0.013605497053337611,67.26456013987604,0.0034905372278620237,0.2741869901693786,0.2696701079870799,0.22017835197323737,0.002983567144799048,0.18920074792597974,0.36361632730430554,0.0005660058369555368,9.0,0.5,0.0,0,0,0,0,0,0,0,0,708.0,5.0,1534.0,2,2,2,2,2,2,2,1
CVChickBasicSpecificAgent,0.07883282410272903,0.24466921471825573,0.056272626926066646,0.00016595080034648719,0.022748448354405003,0.24450326391791163,True,0.4361651637399146,309.72769582769143,4.99563706446051,1464.0309439167909,1.8908304341615776,1.8240003880449098,1.8223554382003986,0.07557215662558613,1.9009617809916197,0.0007741433681839643,1.866970275013505,0.0007772213309534162,13.809570736667464,0.0042909503390097265,56.740789513541564,0.08508133264069079,0.13572599005181646,0.13683663937966722,0.046782571450185786,0.08023505785793876,0.0007564377432408447,0.1044779712844697,0.0008014042454054883,9.0,0.5,0.0,0,0,0,0,0,0,0,0,708.0,5.0,1534.0,2,2,2,2,2,2,2,1
PCTBBasicSpecificAgent,0.12664036298964187,0.23493121614806625,0.048297471077801024,5.113388473634313e-06,0.07729695047240957,0.23492610275959017,True,0.6245847176079734,706.9445300349632,4.998446417923163,1530.194001033886,1.7389982566786235,1.8499135320826308,1.8505858963580373,1.8655346106477828,0.000847583892278068,1.9248385579484153,0.006080300213363974,0.0009089965772487429,1.102585613054864,0.0015619466007054195,3.8851253480638217,0.18471859532653187,0.11590184225814974,0.11861764559037301,0.1065979619825469,0.0008392990645601303,0.06510539906063141,0.005982160299248167,0.0009174660886005788,9.0,0.5,0.0,0,0,0,0,0,0,0,0,708.0,5.0,1534.0,2,2,2,2,2,2,2,1
Random_Walker_Fixed_Forwards_Saccade_15_Angle_10_356,0.08229294669642359,0.08712420755906163,0.0010033114715406516,8.66651961254106e-05,0.08243101048977153,0.08703754236293638,True,0.10376011423131842,243.57763752669842,4.92229752803471,249.189013285299,0.039426786932607635,0.1635376941853856,0.18513863847735582,1.3581897939497949,0.18064070766070814,0.03865741846157044,1.4337452603877736,0.0029863095595249706,54.495843937455355,0.065615846876423,91.71632486349772,0.036512498885628755,0.12054442885232843,0.12468413934062025,0.39784939366634436,0.1553613851926825,0.03591115299500478,0.37504987099119796,0.0026899902809888448,9.0,0.5,0.0,0,0,0,0,0,0,0,0,708.0,5.0,1534.0,2,2,2,2,2,2,2,1
Random_Walker_Fixed_Forwards_Saccade_15_Angle_10_1997,0.08396213561994309,0.08737006959716737,0.0006460854752852188,0.0003325272342315958,0.08341699325369695,0.08703754236293638,True,0.11089957163255593,179.15817815722986,4.929447185413419,352.12751760965926,0.13458132146251978,0.1877332836424191,0.10630881718379362,1.3892486703264737,0.2118816806320829,0.06911610975961696,1.1512138576698803,0.002846819738483222,47.00970627662589,0.06008753656473207,156.39410623470624,0.09819772954008239,0.10834656988270928,0.07769900362523333,0.3833235596764148,0.23882108013995937,0.055657535560814334,0.46543446255413473,0.0027275273958772468,9.0,0.5,0.0,0,0,0,0,0,0,0,0,708.0,5.0,1534.0,2,2,2,2,2,2,2,1
Random_Walker_Fixed_Forwards_Saccade_15_Angle_10_2023,0.09094945601844147,0.09836617193735334,0.0011586608106652102,1.2052428983064951e-05,0.09125077583359388,0.0983541195083708,True,0.10780580675868634,133.29780913703092,4.925731421730036,538.9799971642672,0.08082087954495155,0.2615686152547639,0.14910254447384325,1.3819650374262888,0.1593424294541623,0.026963944122782857,1.4682532898306329,0.005231153289244201,47.69922512497203,0.0649642371382126,316.6431529759804,0.06699521540418842,0.18799455761976794,0.12523466177907686,0.4039321830257998,0.14484804132425316,0.02593406010870548,0.33506757065880965,0.0036214273975987508,9.0,0.5,0.0,0,0,0,0,0,0,0,0,708.0,5.0,1534.0,2,2,2,2,2,2,2,1
