"agent_tag","Suite","SubSuite","Paradigm","Task","Instance","ColorVariant","OccluderVariant","basicTask","cvchickTask","pctbTask","pctbGridTask","pctb3CupTask","lavaPresence","taskCriticalRampPresence","greenGoalPresence","yellowGoalPresence","stationaryGreenGoalPresence","stationaryYellowGoalPresence","movingGreenGoalPresence","movingYellowGoalPresence","numGreenGoals","numYellowGoals","numGoalsAll","mainGoalSize","multipleGoalSameSize","frozenAgentPresence","frozenAgentDelayLength","lightsOutPresence","lightsOutAlternatingPresence","lightsOutPeriod","goalBecomesAllocentricallyOccluded","opaqueWallNotPlatformPresence","transparentWallPresence","bluePlatformPresence","decoyPresence","decoySize","numDecoys","goalLeftRelToStart","goalCentreRelToStart","goalRightRelToStart","forcedChoice","opaqueWallRedValue","opaqueWallGreenValue","opaqueWallBlueValue","opaqueWallColourRandomisationPresence","cityBlockDistanceToGoal","minNumTurnsRequired","numChoices","success","correctChoice","numberPreviousInstances","problem_flag","instance_id"
"5M1_01","Controls","OP Controls","PCTB","12CupGrid","G2FarRightClose",NA,NA,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,255,0,35,1,12,1,1,10,"N","tutorial_10_OP-RP-Allo-PCTB-12CupGrid-G2FarRightClose-NA-0-NA_1.yml"
"5M2_01","Controls","OP Controls","PCTB","12CupGrid","G2FarRightClose",NA,NA,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,255,0,35,1,12,1,1,10,"N","tutorial_10_OP-RP-Allo-PCTB-12CupGrid-G2FarRightClose-NA-0-NA_1.yml"
"4F3_01","Controls","OP Controls","PCTB","12CupGrid","G2FarRightClose",NA,NA,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,255,0,35,1,12,0,0,10,"N","tutorial_10_OP-RP-Allo-PCTB-12CupGrid-G2FarRightClose-NA-0-NA_1.yml"
"7M4_01","Controls","OP Controls","PCTB","12CupGrid","G2FarRightClose",NA,NA,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,255,0,35,1,12,1,1,10,"N","tutorial_10_OP-RP-Allo-PCTB-12CupGrid-G2FarRightClose-NA-0-NA_1.yml"
"5F5_01","Controls","OP Controls","PCTB","12CupGrid","G2FarRightClose",NA,NA,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,255,0,35,1,12,1,1,10,"N","tutorial_10_OP-RP-Allo-PCTB-12CupGrid-G2FarRightClose-NA-0-NA_1.yml"
"5F5_01","Controls","OP Controls","PCTB","12CupGrid","G2FarRightClose",NA,NA,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,255,0,35,1,12,0,0,21,"N","tutorial_10_OP-RP-Allo-PCTB-12CupGrid-G2FarRightClose-NA-0-NA_2.yml"
"5F6_01","Controls","OP Controls","PCTB","12CupGrid","G2FarRightClose",NA,NA,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,255,0,35,1,12,0,0,10,"N","tutorial_10_OP-RP-Allo-PCTB-12CupGrid-G2FarRightClose-NA-0-NA_1.yml"
"5F6_01","Controls","OP Controls","PCTB","12CupGrid","G2FarRightClose",NA,NA,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,255,0,35,1,12,0,0,21,"N","tutorial_10_OP-RP-Allo-PCTB-12CupGrid-G2FarRightClose-NA-0-NA_2.yml"
"7F7_01","Controls","OP Controls","PCTB","12CupGrid","G2FarRightClose",NA,NA,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,255,0,35,1,12,1,1,10,"N","tutorial_10_OP-RP-Allo-PCTB-12CupGrid-G2FarRightClose-NA-0-NA_1.yml"
"7F7_01","Controls","OP Controls","PCTB","12CupGrid","G2FarRightClose",NA,NA,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,255,0,35,1,12,1,1,21,"N","tutorial_10_OP-RP-Allo-PCTB-12CupGrid-G2FarRightClose-NA-0-NA_2.yml"
