participant_id,consent,age,gender,colour_blindness,hours_computerised_video_games,first_third_person_games,strategy_puzzle_games,sports_based_games,simulator_games,mobile_games,game_type_other,game_type_child_does_not_play_games,game_type_do_not_know,desktop_with_keyboard,desktop_with_joystick,games_console_controller,handheld_non_mobile_non_tablet_device,tablet_smartphone_with_touchscreen,game_controller_other,game_controller_child_does_not_play_games,game_controller_do_not_know,task_order,tutorial_0_ready-G2-sanity_1,tutorial_1_turning-G2-rightfar_1,tutorial_2_forcedchoice-lavaleft-G2right_1,tutorial_3_3choicecylinder-G2-left_1,tutorial_4_3choicecylinder-G2-right_1,tutorial_5_multi-2Y2-left_1,tutorial_6_OP-RP-Allo-CVChick-G2.52Occluder-Left-Brown-0-OPQ_variant_1,tutorial_7_OP-RP-Allo-CVChick-G2.52Occluder-Left-Brown-0-OPQ_1,tutorial_8_OP-RP-Allo-PCTB-3CupFCTrans-1G2LClose-NA-0-OpLava_1,tutorial_9_OP-RP-Allo-PCTB-4CupGridClose-G2.5FarLeft-NA-0-NA_1,tutorial_10_OP-RP-Allo-PCTB-12CupGrid-G2FarRightClose-NA-0-NA_1,tutorial_0_ready-G2-sanity_2,tutorial_1_turning-G2-rightfar_2,tutorial_2_forcedchoice-lavaleft-G2right_2,tutorial_3_3choicecylinder-G2-left_2,tutorial_4_3choicecylinder-G2-right_2,tutorial_5_multi-2Y2-left_2,tutorial_6_OP-RP-Allo-CVChick-G2.52Occluder-Left-Brown-0-OPQ_variant_2,tutorial_7_OP-RP-Allo-CVChick-G2.52Occluder-Left-Brown-0-OPQ_2,tutorial_8_OP-RP-Allo-PCTB-3CupFCTrans-1G2LClose-NA-0-OpLava_2,tutorial_9_OP-RP-Allo-PCTB-4CupGridClose-G2.5FarLeft-NA-0-NA_2,tutorial_10_OP-RP-Allo-PCTB-12CupGrid-G2FarRightClose-NA-0-NA_2,tutorial_0_ready-G2-sanity_3,OP-STC-Allo-PCTB-3CupFC-1G2RClose-Brown-0-OPQ,OP-STC-Allo-CVChick-Low-Left-Grey-0-OPQ,OP-STC-Allo-PCTB-3CupFC-2G2LRFar-DarkBlue-0-OpLava,OP-STC-Allo-PCTB-3CupFC-1G2MClose-Grey-0-OPQ,OP-STC-Allo-CVChick-2Occluder-Right-Grey-0-OPQ,OP-STC-Allo-CVChick-1Occluder-Right-Grey-0-OPQ,OP-STC-Allo-PCTB-12CupGrid-G2CloseLeftClose-NA-0-NA,OP-STC-Allo-PCTB-12CupGrid-G2FarRight-G2Far-NA-0-NA,OP-STC-Allo-PCTB-4CupGridClose-G2FarLeft-NA-0-NA,OP-STC-Allo-PCTB-3CupFC-2G2MRFar-Brown-0-OPQ,OP-STC-Allo-CVChick-1Occluder-Right-RND-0-OPQ,OP-STC-Allo-PCTB-12CupGrid-G2CloseRightMid-NA-0-NA,OP-STC-Allo-PCTB-4CupGridFar-G2CloseRight-NA-0-NA,OP-STC-Allo-PCTB-3CupFC-1G2LFar-Beige-0-OpLava,OP-STC-Allo-CVChick-Low-Right-RND-0-OPQ,OP-STC-Allo-CVChick-2Occluder-Left-Grey-0-OPQ,OP-STC-Allo-CVChick-Low-Right-Grey-0-OPQ,OP-STC-Allo-CVChick-2Occluder-Left-RND-0-OPQ,OP-STC-Allo-PCTB-12CupGrid-G2CloseRightClose-NA-0-NA,OP-STC-Allo-CVChick-2Occluder-Left-Grey-0-OPQ,OP-STC-Allo-CVChick-1Occluder-Left-Grey-0-OPQ,OP-STC-Allo-CVChick-2Occluder-Left-RND-0-OPQ,OP-STC-Allo-PCTB-3CupFC-2G2LMFar-DarkBlue-0-OpLava,OP-STC-Allo-PCTB-3CupFC-1G2LClose-DarkBlue-0-OpLava,OP-STC-Allo-CVChick-Low-Left-Grey-0-OPQ,OP-STC-Allo-PCTB-3CupFC-2G2LMClose-DarkGreen-0-OPQ,OP-STC-Allo-CVChick-2Occluder-Right-Grey-0-OPQ,OP-STC-Allo-CVChick-1Occluder-Right-Grey-0-OPQ,OP-STC-Allo-PCTB-3CupFC-2G2MRClose-DarkBlue-0-OPQ,OP-STC-Allo-CVChick-Low-Right-Grey-0-OPQ,OP-STC-Allo-PCTB-12CupGrid-G2FarLeft-G2Far-NA-0-NA,OP-STC-Allo-CVChick-Low-Right-RND-0-OPQ,OP-STC-Allo-PCTB-4CupGridClose-G2FarRight-NA-0-NA,OP-STC-Allo-PCTB-4CupGridMid-G2FarLeft-NA-0-NA,OP-STC-Allo-PCTB-4CupGridMid-G2CloseLeft-NA-0-NA,OP-STC-Allo-CVChick-1Occluder-Left-Grey-0-OPQ,OP-STC-Allo-PCTB-3CupFC-1G2RFar-Brown-0-OPQ,OP-STC-Allo-CVChick-1Occluder-Right-RND-0-OPQ
5M1_01,1,5,M,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,A,1.998,1.998,1.998,1.4985,1.4985,3.996,-1,-1,1.605596,2.037497,1.13399,1.998,,,,,,,,,,,,1.618395,-1.452407,0.563552,1.849399,-1.356205,-1.196002,1.693997,-1.000015,1.436393,3.528152,2.602794,-1.000015,1.738398,-1.498207,-1.317404,2.873799,2.348612,-1.306004,1.772398,-1.000141,-1.183202,2.706596,-1.528604,-1.369605,2.622595,3.458545,-1.458407,2.736197,3.248539,2.825198,1.110787,-1.196402,1.457993,-1.000015,-1.000015,2.614995,1.832598,2.755397
5M2_01,1,5,M,0,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,A,1.998,1.998,1.998,1.4985,1.4985,3.996,2.4975,2.997,-1.357204,1.859894,1.057189,1.998,,,,,,,,,,,,1.812198,-1.227803,3.210509,1.844399,2.875599,2.700996,-1.000015,-1.000015,1.713598,3.593154,2.895999,1.618396,1.790799,1.861599,2.860599,2.860199,2.9038,-1.155002,-1.000015,2.819198,2.793798,2.885999,0.1308835,1.855199,2.775597,0.8470783,2.843399,2.834998,3.636351,2.716196,1.543595,2.796398,1.131188,1.735198,1.759998,2.893199,1.868999,2.841198
4F3_01,1,4,F,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,A,1.998,1.998,1.998,1.4985,1.4985,3.996,-1,-1,-1.352804,-1.000012,-1.000012,,,,,,,,,,,,,-1.000141,2.694396,-0.1666152,1.828198,-0.4530065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7M4_01,1,7,M,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,A,1.998,1.998,1.998,1.4985,1.4985,3.996,2.4975,2.997,1.478394,2.143898,1.444395,,,,,,,,,,,,,1.813598,2.693196,0.2309284,1.723797,2.561994,-1.850361,1.800399,-1.000015,1.386792,0.7679005,2.827598,1.373592,1.402392,1.805998,2.843998,2.787798,-1.167202,2.886599,1.804799,2.916,-1.233003,2.740597,0.2430171,-1.101401,-1.199002,0.6277399,2.817398,2.680196,3.62396,2.806398,1.396792,2.839198,-1.000015,1.615596,1.8496,-1.212402,-1.000141,2.916
5F5_01,1,5,F,0,1,0,0,0,0,0,Tablet,0,0,0,0,0,0,1,0,0,0,A,1.998,1.998,1.998,1.4985,1.4985,3.996,-1,2.997,-1.361204,1.981496,1.185991,1.998,1.998,1.998,1.4985,1.4985,3.996,-1,2.997,-1.000015,-1.000012,-1.000012,,1.887799,2.714796,0.6743664,1.861799,2.510593,-1.282604,-1.000015,1.25199,1.559995,3.58235,-1.171802,-1.000015,1.683597,1.779197,2.842398,-1.232003,2.707396,-1.381805,1.753998,2.877799,2.801198,-1.196802,-1.0392,-1.339605,-1.126601,3.634572,2.277222,2.738997,3.663762,-1.466807,-1.000015,-1.540602,1.682797,-1.000015,-1.000015,-1.531003,1.874399,2.783197
5F6_01,1,5,F,0,1,0,0,0,0,0,Tablet,0,0,0,0,0,0,1,0,0,0,A,1.998,1.998,1.998,1.4985,1.4985,3.996,-1,2.997,-1.000015,-1.000012,-1.000012,1.998,1.998,1.998,1.4985,1.4985,3.996,2.4975,2.997,-1.000015,-1.000012,-1.000012,,1.450399,-1.529403,0.6775259,1.798198,2.218629,2.561594,1.636796,-1.000015,1.658797,2.982671,2.549394,1.319991,-1.000015,1.719796,2.557594,2.596994,-1.459207,-1.000141,-1.000015,2.686196,2.755997,2.736397,3.437335,1.809798,2.806798,3.162519,2.765997,2.550594,0.7189143,2.752397,1.403992,2.780597,1.564395,1.780799,1.829599,-1.000141,1.738797,2.746997
7F7_01,1,7,F,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,A,1.998,1.998,1.998,1.4985,1.4985,3.996,2.4975,-1,-1.000015,1.903095,1.518796,1.998,1.998,1.998,1.4985,1.4985,3.996,2.4975,2.997,1.628796,2.2503,1.531597,,1.860799,-1.365605,2.805979,1.849799,2.822798,2.836798,1.743198,-1.000015,1.691997,3.550558,2.824798,1.708397,1.689597,1.717396,2.677596,2.755197,-1.354405,2.813798,1.791999,2.761397,2.781597,2.873199,0.7487792,1.787398,2.750397,3.484743,2.884799,2.826598,3.487334,2.837399,1.465593,2.92,1.625596,1.803599,1.803599,2.782398,1.869799,2.719796
5M8_01,1,5,M,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,A,1.998,1.998,1.998,1.4985,1.4985,3.996,2.4975,2.997,-1.504806,-1.000012,-1.000012,1.998,1.998,,,,,,,,,,,-1.000141,2.742797,0.6383801,1.782197,-1.516005,2.818798,1.785999,1.603996,1.755198,3.361311,2.625795,1.711597,1.801199,1.831798,2.821998,2.671996,2.788398,2.877399,1.654796,2.649595,2.789398,2.852799,-1.198402,1.680396,-1.224603,3.646965,2.723597,2.737997,3.689969,2.9162,-1.000015,2.844198,1.505994,1.475994,1.758798,2.822598,1.823398,2.765597
4M9_01,1,4,M,0,2,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,A,1.998,1.998,1.998,1.4985,1.4985,3.996,-1,2.997,1.805999,2.038297,1.7612,1.998,1.998,,,,,,,,,,,1.867799,-1.099401,-1.0438,1.888399,2.782998,2.798998,-1.000015,-1.000015,1.805199,3.624967,-1.158401,-1.000015,1.8372,1.845199,2.9162,2.901999,2.833198,-1.228203,1.797599,2.899199,-1.181802,2.859799,3.71297,-1.106001,2.818398,3.841987,-1.198802,2.9036,0.9410517,2.9076,1.659197,-1.079,1.8944,1.795599,1.8376,2.890999,1.654195,2.9318
4M10_01,1,4,M,0,4,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,A,1.998,1.998,1.998,1.4985,1.4985,3.996,2.4975,2.997,1.673997,2.154299,1.8196,1.998,,,,,,,,,,,,1.9112,-1.162602,-1.170402,-1.000141,-1.0562,-1.352805,1.801599,-1.000015,1.655997,3.819183,2.832798,1.793999,1.8668,-1.046,2.882199,2.884799,2.898999,2.9346,1.719998,2.916,2.873999,2.874199,3.668766,1.9086,2.9244,3.726374,2.802998,2.868399,0.9312546,2.853599,-1.000015,2.900599,1.8844,1.8692,1.825599,2.841599,1.907,2.876599
6M11_01,1,6,M,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,A,1.998,1.998,1.998,1.4985,1.4985,3.996,-1,2.997,1.115587,1.63829,-1.000012,1.998,1.998,-1,,,,,,,,,,-1.000141,-1.738176,-1.209002,1.894799,-1.435806,2.531593,1.674397,-1.000015,1.749198,3.454338,-1.237803,-1.000015,1.613596,1.572594,-1.217602,2.874399,2.610394,2.845798,1.811199,2.781597,2.856599,2.716396,0.6697662,-1.211002,2.879199,3.665359,2.881999,-1.147001,0.9464501,2.819198,-1.000015,2.877399,1.751998,1.763598,1.882,2.727197,1.807198,2.899199
7M12_01,1,7,M,0,3,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,A,1.998,1.998,-1,1.4985,1.4985,3.996,2.4975,2.997,1.807199,2.2023,1.8148,1.998,,,,,,,,,,,,1.872999,-1.185002,0.6251556,1.9276,2.816598,2.895799,1.818799,1.802799,1.829599,3.813582,2.9154,-1.000015,1.819999,1.9088,2.893799,2.881599,2.9152,2.9308,1.8664,2.9012,2.9402,2.931,3.734571,1.906,2.931,3.759775,2.9224,2.944,0.9292551,2.9108,1.8312,2.9068,1.8768,1.8484,1.914,2.9354,1.882599,2.9342
4M13_01,1,4,M,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,A,1.998,1.998,1.998,1.4985,1.4985,3.996,-1,2.997,-1.1032,1.62309,-1.000012,1.998,1.998,1.998,1.4985,1.4985,3.996,2.4975,-1,-1.343603,-1.000012,1.7092,,-1.000141,-1.106201,-1.204602,1.869199,-1.355405,2.505593,-1.000015,1.588395,1.798399,3.384348,-1.545401,-1.000015,1.676397,-1.098801,-1.310804,2.891199,2.753397,2.814798,1.809999,2.846199,-1.204602,2.913,-1.095001,-1.0706,2.814998,3.584755,2.500993,2.819398,3.369732,2.789798,-1.000015,2.744597,1.742398,1.510794,-1.000015,2.850599,1.850999,-1.00014
6F14_01,1,6,F,0,3,1,0,0,0,0,Roblox,0,0,0,0,0,0,1,0,0,0,A,1.998,1.998,1.998,1.4985,1.4985,3.996,2.4975,2.997,1.562395,2.135098,1.75,1.998,1.998,1.998,1.4985,1.4985,3.996,2.4975,-1,1.737998,2.2815,1.7164,1.998,1.802598,-1.170402,0.7187744,1.889399,2.885799,2.898799,1.8616,1.573995,1.789199,3.697567,2.889799,1.767998,1.740798,1.848199,2.888399,2.897799,2.826398,2.881399,1.87,2.887199,2.875799,2.906,3.775576,-1.266203,2.906,3.820982,2.9218,2.889599,3.784977,2.867199,-1.000015,-1.149401,1.8388,-1.000015,1.8844,2.9326,1.9382,-1.0544
