,taskName,inCurriculum
0,OP-Controls-Basic-LavaMedium-Single-0.5-NA-0-Lava.yml,0
1,OP-Controls-Basic-LavaMedium-Single-1-NA-0-Lava.yml,1
2,OP-Controls-Basic-LavaMedium-Single-2-NA-0-Lava.yml,0
3,OP-Controls-Basic-LavaMedium-Single-4-NA-0-Lava.yml,0
4,OP-Controls-Basic-MovingGreen-LeftLong-0.5-NA-0-NA.yml,1
5,OP-Controls-Basic-MovingGreen-LeftLong-1-NA-0-NA.yml,0
6,OP-Controls-Basic-MovingGreen-LeftLong-2-NA-0-NA.yml,0
7,OP-Controls-Basic-MovingGreen-LeftLong-4-NA-0-NA.yml,1
8,OP-Controls-Basic-MovingGreen-LeftMedium-0.5-NA-0-NA.yml,1
9,OP-Controls-Basic-MovingGreen-LeftMedium-1-NA-0-NA.yml,0
10,OP-Controls-Basic-MovingGreen-LeftMedium-2-NA-0-NA.yml,0
11,OP-Controls-Basic-MovingGreen-LeftMedium-4-NA-0-NA.yml,0
12,OP-Controls-Basic-MovingGreen-LeftShort-0.5-NA-0-NA.yml,0
13,OP-Controls-Basic-MovingGreen-LeftShort-1-NA-0-NA.yml,0
14,OP-Controls-Basic-MovingGreen-LeftShort-2-NA-0-NA.yml,0
15,OP-Controls-Basic-MovingGreen-LeftShort-4-NA-0-NA.yml,0
16,OP-Controls-Basic-MovingGreen-RightLong-0.5-NA-0-NA.yml,0
17,OP-Controls-Basic-MovingGreen-RightLong-1-NA-0-NA.yml,0
18,OP-Controls-Basic-MovingGreen-RightLong-2-NA-0-NA.yml,0
19,OP-Controls-Basic-MovingGreen-RightLong-4-NA-0-NA.yml,0
20,OP-Controls-Basic-MovingGreen-RightMedium-0.5-NA-0-NA.yml,0
21,OP-Controls-Basic-MovingGreen-RightMedium-1-NA-0-NA.yml,1
22,OP-Controls-Basic-MovingGreen-RightMedium-2-NA-0-NA.yml,0
23,OP-Controls-Basic-MovingGreen-RightMedium-4-NA-0-NA.yml,1
24,OP-Controls-Basic-MovingGreen-RightShort-0.5-NA-0-NA.yml,0
25,OP-Controls-Basic-MovingGreen-RightShort-1-NA-0-NA.yml,1
26,OP-Controls-Basic-MovingGreen-RightShort-2-NA-0-NA.yml,0
27,OP-Controls-Basic-MovingGreen-RightShort-4-NA-0-NA.yml,0
28,OP-Controls-Basic-MovingYellow-LeftLong-0.5-NA-0-NA.yml,0
29,OP-Controls-Basic-MovingYellow-LeftLong-1-NA-0-NA.yml,1
30,OP-Controls-Basic-MovingYellow-LeftLong-2-NA-0-NA.yml,0
31,OP-Controls-Basic-MovingYellow-LeftLong-4-NA-0-NA.yml,0
32,OP-Controls-Basic-MovingYellow-LeftMedium-0.5-NA-0-NA.yml,0
33,OP-Controls-Basic-MovingYellow-LeftMedium-1-NA-0-NA.yml,0
34,OP-Controls-Basic-MovingYellow-LeftMedium-2-NA-0-NA.yml,0
35,OP-Controls-Basic-MovingYellow-LeftMedium-4-NA-0-NA.yml,0
36,OP-Controls-Basic-MovingYellow-LeftShort-0.5-NA-0-NA.yml,0
37,OP-Controls-Basic-MovingYellow-LeftShort-1-NA-0-NA.yml,0
38,OP-Controls-Basic-MovingYellow-LeftShort-2-NA-0-NA.yml,1
39,OP-Controls-Basic-MovingYellow-LeftShort-4-NA-0-NA.yml,0
40,OP-Controls-Basic-MovingYellow-RightLong-0.5-NA-0-NA.yml,0
41,OP-Controls-Basic-MovingYellow-RightLong-1-NA-0-NA.yml,0
42,OP-Controls-Basic-MovingYellow-RightLong-2-NA-0-NA.yml,0
43,OP-Controls-Basic-MovingYellow-RightLong-4-NA-0-NA.yml,0
44,OP-Controls-Basic-MovingYellow-RightMedium-0.5-NA-0-NA.yml,0
45,OP-Controls-Basic-MovingYellow-RightMedium-1-NA-0-NA.yml,0
46,OP-Controls-Basic-MovingYellow-RightMedium-2-NA-0-NA.yml,1
47,OP-Controls-Basic-MovingYellow-RightMedium-4-NA-0-NA.yml,0
48,OP-Controls-Basic-MovingYellow-RightShort-0.5-NA-0-NA.yml,0
49,OP-Controls-Basic-MovingYellow-RightShort-1-NA-0-NA.yml,0
50,OP-Controls-Basic-MovingYellow-RightShort-2-NA-0-NA.yml,0
51,OP-Controls-Basic-MovingYellow-RightShort-4-NA-0-NA.yml,0
52,OP-Controls-Basic-MultiStationary-5Y-0.5-NA-0-NA.yml,0
53,OP-Controls-Basic-MultiStationary-5Y-1-NA-0-NA.yml,0
54,OP-Controls-Basic-MultiStationary-5Y-2-NA-0-NA.yml,0
55,OP-Controls-Basic-MultiStationary-5Y-4-NA-0-NA.yml,0
56,OP-Controls-Basic-OpaqueWMedium-Short-0.5-Grey-0-Opaque.yml,0
57,OP-Controls-Basic-OpaqueWMedium-Short-1-Grey-0-Opaque.yml,0
58,OP-Controls-Basic-OpaqueWMedium-Short-2-Grey-0-Opaque.yml,0
59,OP-Controls-Basic-OpaqueWMedium-Short-4-Grey-0-Opaque.yml,0
